Time [sec]	T [mK]	T_loc/T_c	T_mc/Tc
571.0	0.6719749732653781	0.6633514050003734	0.6439748917620686
575.0	0.672840409245282	0.6642057346942567	0.6439823890462884
579.0	0.672149577236496	0.6635237682492557	0.6439898868443447
583.0	0.6733515624214306	0.6647103281554103	0.6439973851562043
588.0	0.6736862633633791	0.6650407338236715	0.6440067587685141
592.0	0.6733624145811063	0.6647210410474891	0.6440142582363094
596.0	0.6721496268703504	0.6635238172461505	0.6440217582177998
600.0	0.6726666118227058	0.6640341676433424	0.644029258712952
605.0	0.6730165351020787	0.6643796002982021	0.6440386350541784
609.0	0.6724957255185018	0.6638654743519268	0.6440461367049478
613.0	0.6718058787714654	0.6631844805246451	0.6440536388692708
617.0	0.6719821511260307	0.6633584907463285	0.6440611415471141
621.0	0.6730003688464876	0.664363641506898	0.6440686447384445
626.0	0.673189437033443	0.6645502833498944	0.6440780244496477
630.0	0.6723157603635173	0.6636878187201553	0.6440855287962018
634.0	0.6728434569749879	0.6642087433119329	0.6440930336561348
638.0	0.6721510154261523	0.6635251879823814	0.6441005390294134
643.0	0.6724896036221253	0.6638594310188799	0.644109921467853
647.0	0.6733469405314736	0.6647057655789473	0.644117427996037
651.0	0.6714611073127799	0.6628441335762881	0.6441249350374584
655.0	0.6724829342233534	0.6638528472096282	0.6441324425920838
659.0	0.6712889443260792	0.6626741799862579	0.6441399506598797
664.0	0.673016184816106	0.6643792545075085	0.6441493364662204
668.0	0.672830018310151	0.6641954771077503	0.6441568456885287
672.0	0.6705983343806565	0.6619924327548437	0.6441643554238995
676.0	0.6735347646397258	0.6648911793087127	0.6441718656722996
681.0	0.6716394528909859	0.6630201904155834	0.6441812542041961
685.0	0.6726497084273433	0.664017481172106	0.6441887656067901
689.0	0.6718120062064372	0.6631905293252096	0.6441962775223049
693.0	0.6723257963587912	0.6636977259218078	0.6442037899507075
698.0	0.6733618115467834	0.6647204457520074	0.6442131812074082
702.0	0.6707932917220205	0.6621848881757361	0.6442206947896864
706.0	0.6718119568226939	0.6631904805752161	0.6442282088847439
710.0	0.6724913951986764	0.6638611996038267	0.6442357234925477
714.0	0.6730158344537358	0.6643789086413977	0.6442432386130643
719.0	0.6723157108303894	0.6636877698226945	0.6442526332346618
723.0	0.6714539686313401	0.6628370865067524	0.6442601495086606
727.0	0.6731863779023115	0.6645472634771091	0.6442676662952642
731.0	0.6711268067208493	0.6625141231202857	0.6442751835944391
736.0	0.6707731520150446	0.6621650069250195	0.6442845809391605
740.0	0.6719568572507342	0.6633335214716034	0.6442920993914992
744.0	0.6721441219197004	0.6635183829414615	0.6442996183563012
748.0	0.6723257465414463	0.6636976767437772	0.644307137833533
753.0	0.6731802101814992	0.6645411749076992	0.6443165379006266
757.0	0.671291106536728	0.6626763144488924	0.644324058530704
761.0	0.6728249729085292	0.6641904964546191	0.6443315796731028
765.0	0.6733624145811063	0.6647210410474891	0.6443391013277902
769.0	0.6726365469141911	0.6640044885628738	0.6443466234947325
774.0	0.6724713387852717	0.6638414005777609	0.6443560269237185
778.0	0.6728159322551619	0.6641815718214827	0.6443635502431131
782.0	0.6721441219197004	0.6635183829414615	0.6443710740746545
786.0	0.6728249230268375	0.6641904472130676	0.6443785984183096
791.0	0.6731759480294386	0.6645369674525554	0.6443880045679874
795.0	0.6721342047358121	0.663508593026468	0.6443955300637761
799.0	0.6717920935357142	0.6631708721971513	0.6444030560715703
803.0	0.6716413765998368	0.6630220894371539	0.6444105825913367
807.0	0.6740385148757468	0.6653884648329189	0.6444181096230416
812.0	0.6719657663609269	0.6633423162496811	0.644427519132536
816.0	0.6719683898513722	0.6633449060724307	0.6444350473159817
820.0	0.673015133548688	0.6643782167311827	0.6444425760112578
824.0	0.6712978890238901	0.6626830098952519	0.6444501052183311
829.0	0.6726617748258832	0.6640293927205165	0.644459517446837
