Time [sec]	T [mK]	T_loc/T_c	T_mc/Tc
119983.0	0.8178571045171955	0.8803628681562922	0.865469877608921
119987.0	0.8152197571807666	0.8775239582139575	0.8654834374634622
119991.0	0.8215241583821475	0.884310181250966	0.8654969973180034
119996.0	0.8254537989190635	0.8885401495361286	0.8655139471361801
120000.0	0.818850593623542	0.881432285924157	0.8655275069907213
120004.0	0.8159732762774106	0.8783350659606142	0.8655410668452626
120008.0	0.8237165299829076	0.8866701076242277	0.8655546266998039
120013.0	0.8219741891230657	0.8847946061604582	0.8655715765179804
120017.0	0.8204866300180091	0.8831933584693317	0.8655851363725217
120021.0	0.8214828681118871	0.884265735319577	0.865598696227063
120025.0	0.8262159467010372	0.8893605454263047	0.8656122560816043
120029.0	0.8206019786890326	0.8833175228084312	0.8656258159361455
120034.0	0.819262555052043	0.8818757320258805	0.8656427657543222
120038.0	0.8237343303793473	0.8866892684384793	0.8656563256088634
120042.0	0.8241601622527571	0.887147645051407	0.8656698854634046
120046.0	0.821948130361822	0.8847665558254273	0.8656834453179459
120050.0	0.8223732542380361	0.8852241703315781	0.8656970051724873
120055.0	0.8169097953431943	0.8793431596805105	0.8657139549906637
120059.0	0.8236815288604528	0.8866324314967198	0.865727514845205
120063.0	0.8201802680464434	0.8828635823966021	0.8657410746997464
120067.0	0.821823250030341	0.8846321313566641	0.8657546345542876
120072.0	0.8203265117115098	0.8830210029187403	0.8657715843724642
120076.0	0.8245232083890219	0.8875384374478169	0.8657851442270055
120080.0	0.8208474814644448	0.8835817884439663	0.8657987040815467
120084.0	0.8241910465270337	0.8871808896954075	0.8658122639360879
120088.0	0.8237260316182089	0.8866803354340246	0.8658258237906292
120093.0	0.821928223612659	0.8847451276777815	0.8658427736088058
120097.0	0.8205532541567409	0.8832650744421322	0.865856333463347
120101.0	0.8214712773725594	0.8842532587433363	0.8658698933178883
120105.0	0.8165543817877617	0.8789605831945766	0.8658834531724297
120110.0	0.8223038078061182	0.885149416368265	0.8659004029906062
120114.0	0.8206019786890326	0.8833175228084312	0.8659139628451477
120118.0	0.8204463621393291	0.8831500130670926	0.8659275226996889
120122.0	0.821938719979597	0.8847564262428385	0.86594108255423
120126.0	0.821928223612659	0.8847451276777815	0.8659546424087714
120131.0	0.8215327299980515	0.8843194079634569	0.865971592226948
120135.0	0.8236192189111357	0.8865653594307165	0.8659851520814892
120139.0	0.8245684813782127	0.8875871704824679	0.8659987119360305
120143.0	0.8210572525742211	0.883807591576126	0.8660122717905718
120148.0	0.8228530060710217	0.8857405878051902	0.8660292216087483
120152.0	0.8236006929650695	0.8865454176157906	0.8660427814632896
120156.0	0.8218750151153366	0.8846878526537529	0.8660563413178309
120160.0	0.8188047792772007	0.8813829701584507	0.8660699011723721
120165.0	0.8209991372815487	0.8837450347487069	0.8660868509905487
120169.0	0.8201733724137441	0.8828561597564522	0.86610041084509
120173.0	0.8249107221605638	0.8879555674494766	0.8661139706996313
120177.0	0.8223837428364683	0.8852354605344115	0.8661275305541725
120181.0	0.8268443374529159	0.890036961736185	0.8661410904087138
120186.0	0.8222485824636845	0.8850899703591867	0.8661580402268904
