Time [sec]	T [mK]	T_loc/T_c	T_mc/Tc
10755.0	0.8903857514210203	0.3883060407418318	0.3348206156266629
10759.0	0.8904277944434722	0.38832437612013615	0.3348443428097499
10764.0	0.8905042061081536	0.38835770000355585	0.3348740017034294
10768.0	0.8904663861554942	0.3883412063477951	0.3348977287500144
10772.0	0.8905470319480888	0.3883763767763143	0.33492145573564525
10776.0	0.8904417300471459	0.38833045357485646	0.33494518266014556
10780.0	0.8904869932613595	0.388350193310667	0.33496890952333913
10785.0	0.8905643061161777	0.38838391021202684	0.33499856801585015
10789.0	0.8904227919997072	0.38832219450488753	0.3350222947404596
10793.0	0.8905643061161777	0.38838391021202684	0.3350460214031901
10797.0	0.8906935805871483	0.388440288088595	0.33506974800386585
10801.0	0.8907775347549411	0.38847690133229007	0.33509347454231087
10806.0	0.8906054683276441	0.3884018614599407	0.3351231326275877
10810.0	0.8909166900441683	0.3885375883315169	0.3351468590253714
10814.0	0.8906507441165852	0.3884216066797144	0.3351705853603537
10818.0	0.8904656119141459	0.38834086869347834	0.33519431163235897
10822.0	0.8906730258436375	0.38843132396146424	0.33521803784121196
10827.0	0.8904672795121726	0.38834159594948653	0.33524769551320305
10831.0	0.8907322492699121	0.3884571518839564	0.3352714215793223
10835.0	0.8905273161886189	0.3883677785384295	0.3352951475817197
10839.0	0.8906294164049253	0.3884123054535217	0.33531887352022016
10843.0	0.8908334909342082	0.3885013043760175	0.3353425993946488
10848.0	0.8906852394457645	0.38843665043426273	0.33537225664731696
10852.0	0.8908061378942471	0.38848937544450374	0.33539598237694435
10856.0	0.8907401143955282	0.38846058194309996	0.3354197080419317
10860.0	0.8907049604766839	0.38844525097107885	0.3354434336421043
10864.0	0.8906192294175841	0.3884078628074941	0.33546715917728775
10869.0	0.8909544791495434	0.3885540685344716	0.33549681600460995
10873.0	0.8909553136362987	0.38855443246240673	0.3355205413929296
10877.0	0.8909553136362987	0.38855443246240673	0.3355442667156931
10881.0	0.8906852394457645	0.38843665043426273	0.33556799197272624
10885.0	0.8908376625323915	0.3885031236512828	0.33559171716385494
10890.0	0.8909673542178518	0.3885596834792201	0.33562137355982247
10894.0	0.8909296239006479	0.3885432289143689	0.3356450986020297
10898.0	0.8908850420213619	0.38852378631546525	0.33566882357776695
10902.0	0.8909784413047181	0.3885645186675613	0.3356925484868604
10906.0	0.8909681887226064	0.38856004741500494	0.3357162733291364
10911.0	0.8909996623244267	0.38857377336433785	0.33574592928775465
10915.0	0.8911491845451409	0.38863898148501563	0.3357696539790563
10919.0	0.8909296835043148	0.3885432549081181	0.3357933786029763
10923.0	0.8910359663212875	0.3885896058967673	0.33581710315934127
10927.0	0.891136365189579	0.3886333908371474	0.33584082764797785
10932.0	0.8909913764995028	0.38857015983406135	0.3358704831632665
10936.0	0.8909656256045841	0.38855892961386135	0.3358942074988808
10940.0	0.8910068156469606	0.3885768929991106	0.335917931766204
